url,company,website,job_name,job_description,job_function
https://www.timesjobs.com/job-detail/sde-3-mobile-team-lead-hyrefox-consultants-mumbai-4-to-7-yrs-jobid-5__PLUS__y__PLUS____PLUS__Avw__SLASH__bBzpSvf__PLUS__uAgZw==&source=srp,HyreFox Consultants,http://www.hyrefox.com,"
	  
  SDE 3 - Mobile Team Lead
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/analyst-barclays-bank-plc-chennai-6-to-9-yrs-jobid-5m7Owet8Fd5zpSvf__PLUS__uAgZw==&source=srp,Barclays Bank PLC,http://www.barclays.co.uk/PersonalBanking/P1242557947640,"
	  
  Analyst
  ","Payment processing of operational tasks across the client portfolios,Accountable for the delivery of own work against measures in place to track quality, accuracy and risk,Validation and verification of work produced by others using quality assurance processes,Responsible for identifying and managing exceptions and non-standard activity,Awareness of and adherence to risk and compliance policies and procedures,Identification of breaches and risk events and subsequent root cause analysis,Identify process enhancements to benefit client and team performance,Accountable for managing and resolving cash and stock reconciliation breaks,A strong financial background would be advantageous which preferably would be within payments /Settlements,Preferably with strong understanding and working knowledge of Avaloq,Strong control awareness including understanding the key controls required in payments,Proven interpersonal, influencing and team working skills and the ability to communicate at multiple levels,At least 6  years of experience with relevant experience in same domain,Have a solid understanding of LEAN principles and have a track record of success in capacity creation, achieving efficiencies and enhancing the Control Environment,Graduate in any discipline,Have a strong knowledge of Payments systems / Investment Operations industry experience,Knowledge about SWIFTS, IBAN, MT103 and MT202 instructions.,Willingness and ability to take ownership of issues and manage through to a successful resolution,Resource Management and Prioritization of skills",Quality/Process Control
https://www.timesjobs.com/job-detail/upstox-principal-software-engineer-upstox-mumbai-bengaluru-bangalore-6-to-10-yrs-jobid-Zogu5qslPmpzpSvf__PLUS__uAgZw==&source=srp,Upstox,http://www.upstox.com,"
	  
  Upstox - Principal Software Engineer
  ","Lead the technical architecture and design of mobile applications, ensuring adherence to best practices, scalability, and performance.,Provide guidance and mentorship to junior engineers, fostering a culture of continuous learning and growth.,Collaborate with product managers, designers, and other stakeholders to define technical requirements and create comprehensive project plans.,Develop high-quality code for mobile applications across multiple platforms (iOS and Android), utilizing appropriate programming languages and frameworks.,Implement best practices for mobile application development, including responsive design, performance optimization, and security.,Conduct thorough code reviews to ensure code quality, maintainability, and adherence to coding standards.,Implement and maintain automated testing frameworks to validate the functionality and performance of mobile applications.,Stay current with emerging technologies and trends in mobile development, evaluating their potential impact on existing and future projects.,Identify opportunities for process improvement and efficiency gains within the mobile development lifecycle.,Work closely with cross-functional teams to understand project requirements, provide technical guidance, and drive successful project outcomes.,Communicate effectively with stakeholders at all levels of the organization, providing updates on project status, technical challenges, and proposed solutions.,Bachelor's or Master's degree in Computer Science, Engineering, or a related field.,12  years of professional experience in mobile application development, with a focus on iOS, Android, or cross-platform development frameworks.,Proven expertise in programming languages such as Swift, Objective-C, Kotlin, Java, or React Native or Flutter.,Extensive experience with mobile development tools, SDKs, and frameworks, such as Xcode, Android Studio, SwiftUI, UIKit, Jetpack, etc.,Strong understanding of software engineering principles, design patterns, and architectural concepts.,Experience with version control systems (e.g., Git), continuous integration/continuous deployment (CI/CD) pipelines, and agile software development methodologies.,Excellent problem-solving skills and the ability to troubleshoot complex technical issues.,Exceptional communication and interpersonal skills, with the ability to collaborate effectively in a cross-functional team environment.,Previous experience in a technical leadership or mentorship role is highly desirable.,Be self-driven / quick starter,Have an ownership mindset,Aggressively drive and deliver results",IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/iphone-developer-ios-alliance-recruitment-agency-ahmedabad-2-to-3-yrs-jobid-gHqsV__SLASH__IdxeRzpSvf__PLUS__uAgZw==&source=srp,alliance recruitment agency,http://www.alliancerecruitmentagency.com,"
	  
  IPhone Developer/IOS
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/ios-mobile-app-developer-novaya-software-private-limited-hyderabad-secunderabad-4-to-6-yrs-jobid-oG__PLUS__ByGHJiI9zpSvf__PLUS__uAgZw==&source=srp,Novaya Software Private Limited,http://www.novayasoft.com,"
	  
  iOS Mobile App Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/reactjs-developer-roamsoft-technologies-pvt-ltd-chennai-0-to-1-yrs-jobid-LB7vOJDBu3xzpSvf__PLUS__uAgZw==&source=srp,roamsoft technologies pvt ltd,https://www.roamsofttech.com/career,"
	  
  ReactJs Developer
  ","Excellent programming and debugging skills in Flutter and Firebase.,Must have sound knowledge of Mobile architecture.,Experience in Flutter, Dart is a must, with strong knowledge of any other native or cross platform mobile development framework (Swift iOS, Java Android, React Native),Experience working with remote data via REST and JSON.,Good experience in building sometimes connected apps with local storage, SQLite or Couchbase Mobile.,Experience in Social API integration, third-party libraries and APIs, & Core location APIs,,Proficient with developing optimised UI for different Android & iOS versions and devices, familiarity with Google Material Design.,UI development in mobile framework (Android /iOS) environment including using of native UI controls and developing of new custom UI Controls and Android/ iOS.,Solid understanding of the full mobile development life cycle.,Strong knowledge and experience of building for Security, Performance and Scalability.,Good working knowledge of Crash Reporting tools, Usage tracking tools, Fabric, Crashlytics and Google Analytics for Mobile apps.,Course completion added advantage.",IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/senior-developer-sap-ariba-bengaluru-bangalore-7-to-10-yrs-jobid-WmJpkkjJ2__PLUS__RzpSvf__PLUS__uAgZw==&source=srp,SAP Ariba,https://www.sap.com/india/index.html,"
	  
  Senior Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/iphone-developer-alliance-recruitment-agency-ahmedabad-3-to-4-yrs-jobid-HQNTbeObK0ZzpSvf__PLUS__uAgZw==&source=srp,alliance recruitment agency,http://www.alliancerecruitmentagency.com,"
	  
  iPhone Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/mobile-application-developer-saggio-insurance-marketing-pvt-ltd-bengaluru-bangalore-7-to-10-yrs-jobid-dqHxa5dzg4hzpSvf__PLUS__uAgZw==&source=srp,Saggio Insurance Marketing Pvt Ltd,https://www.saggioinsurance.in/,"
	  
  Mobile Application Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/senior-software-engineer-ios-iphs-technologies-lucknow-2-to-6-yrs-jobid-tdoFrHWjA75zpSvf__PLUS__uAgZw==&source=srp,IPHS Technologies,https://iphtechnologies.com/,"
	  
  Senior Software Engineer( iOS)
  ",,IT Software : Software Products & Services
